;values
2340;Falling In Love
2341;I can't tag everything
2342;Tags in the Summary of Each Chapter
2343;Though There Are Some Non-OC Plots
2344;knows everyone
2345;Fusion
2346;Tragic Romance
2347;Shore Leave
2348;Saiyans
2349;Exploitation
2350;Intrigue
2351;(possibly)Overpowered Saotome Ranma
2352;Aquatranssexual
2353;no beta reader we die like Tien
2354;Highlander Crossover
2355;Silly
2356;Teen Romance
2357;Awkward Romance
2358;Omega Verse
2359;"Fixing cooking problems instead of using them as a ""joke"""
2360;wildly different chapter lengths
2361;op Yuujirou
2362;Alternate Universe - Post-Canon
2363;MST3K-Style Riffing
2364;Childhood Friends
2365;Quirkless Midoriya Izuku
2366;Mega-Crossover
2367;Trigger warning: Accidental near drowning
2368;Nerfed Main Character
2369;Female Monkey D. Garp
2370;Everyone is Trans
2371;Ki Use
2372;Sailor eclipse
2373;Also using Pantyhose-Taro instead of a separate name
2374;Irregular Hunters | Maverick Hunters (Rockman X)
2375;Nerima Wrecking Crew - Freeform
2376;more tags when I write more of it
2377;Linked Universe (Legend of Zelda)
2378;With the original Toronto Run cast
2379;no one knows where he went
2380;bisexual disaster feedback loop
2381;Senshi Ranma
2382;Slow Burn
2383;Misgendering
2384;Female Ranma
2385;Money
2386;Festivals
2387;Mildly Dubious Consent
2388;trans!ranma
2389;Love Hina cameos
2390;Wedding
2391;Self-Help Books
2392;Creampie
2393;Girly Ranma
2394;Age Difference
2395;Drugs
2396;Friendship/Love
2397;Revenge
2398;Genderfluid Ranma
2399;Sexual Slavery
2400;Panic Attacks
2401;period
2402;Foot Fetish
2403;Drinking
2404;is this love
2405;Canon-Typical Craziness
2406;Water Sex
2407;Eventual Smut
2408;Unplanned Pregnancy
2409;Different Curses
2410;Polysexual
2411;Sappy Letter Writing
2412;Dark Crack
2413;Adventure & Romance
2414;First Time Blow Jobs
2415;Wakes & Funerals
2416;Background Relationships
2417;Family Secrets
2418;Probably gonna to add more as I write btw
2419;Vaginal
2420;Relationship Discussions
2421;worries about seppuku
2422;Slow Romance
2423;Social Anxiety
2424;handjob
2425;pchan
2426;Groping
2427;Rule 63
2428;TFTG
2429;Injury Recovery
2430;References to Canon
2431;Kung Fu
2432;my tzi loves me enough to edit this 20 year old mess
2433;Pastries
2434;cursegender ranma
2435;Kaiju Dildos
2436;Disabled Character of Color
2437;Homophobic Language
2438;Trickster Gods
2439;The Eternal Lost Boy
2440;kiss kiss
2441;some making out
2442;never too late
2443;Akane love
2444;like... 10 years younger
2445;they’re older
2446;Ryoga definitely has depression issues but that’s just canon
2447;and turn what could have been easy into a slow burn
2448;Boys Kissing
2449;maybe a crush? maybe not...
2450;Moving On
2451;not much happening
2452;Anyways
2453;hoping to get featured on ao3's tag of the day yall
2454;Chinese Goddess
2455;Kiss of Marriage
2456;Neko-ken Trauma
2457;Walking
2458;Bear - Freeform
2459;Little Pink Piglet named Momo
2460;Lactation Kink
2461;Pregnancy Kink
2462;Christmas Party
2463;Breaking the Fourth Wall
2464;Shameless
2465;Babies
2466;Tags Are Fun
2467;Thanksgiving Dinner
2468;Affection
2469;Nursing
2470;Hell Right
2471;This is how a real man acts
2472;Lolicon
2473;Emotional Baggage
2474;Internal Conflict
2475;Teen Sex
2476;Evil Amazons
2477;A lesson in honesty
2478;Vampire wants to be mortal again
2479;love potions
2480;Akane can hear Ranma's thoughts and she STILL gets it wrong!
2481;covers manga anime and films plus OVA
2482;Ranma Saotome gets a hug
2483;Forests
2484;Treasure Hunting
2485;Dating
2486;really gotta go
2487;transgender character
2488;Sisters
2489;Same-Sex Marriage
2490;Dark is not Evil
2491;Forgiveness
2492;ryouga
2493;Couples Sparring
2494;Love Hotels
2495;Anger Management
2496;Eventual shamkane
2497;trans girl ai
2498;Lesbian Sex (in Pokegirls omake)
2499;Negima!-centric
2500;Threesome - F/F/M (in Pokegirls omakes)
2501;Rape via deception
2502;confidently hetero Ranma
2503;Messy
2504;agender Ranma
2505;Short Stories
2506;Banter
2507;Ranma conveniently (inconveniently) finds themselves in cursed form OFTEN in this
2508;Forced Masturbation
2509;lady bros
2510;Graphic Description
2511;No Akane Bashing
2512;Trans Male Saotome Ranma
2513;just a little bit
2514;Relationship Negotiation
2515;Hypnotizing Mushrooms
2516;Secret Bachelor
2517;discussion of transphobia
2518;Definitely a period piece
2519;Gosunkugi Hikaru gets told off
2520;A Whole Carton of Eggs
2521;Ranma is a bottom
2522;Pride
2523;Interracial Relationship
2524;Strangers to Friends to Lovers
2525;Abusive Parent
2526;talk of seppuku
2527;bots
2528;No betas we just go in
2529;Native American Character(s)
2530;Film Noir
2531;1930s
2532;Holly writes herself a little Ranbiki as a treat
2533;Post-Symphogear S1
2534;Maybe pre-slah not sure
2535;Genderfluid Tendou Akane
2536;Hibari is Nodoka's maiden name
2537;Awkward Flirting
2538;Updates and Edits
2539;sitting at home drinking tea
2540;your OTP chilling out
2541;Antagonism
2542;Cutting
2543;Actually Healthy Communication
2544;My First Smut
2545;Are you sensing a theme or should I keep going
2546;PSA: This is not how sex actually works
2547;This Is Not Going To Go The Way You Think
2548;Early series ranma
2549;Immortality
2550;Anger
2551;Isekai
2552;im probably not a great judge of that though
2553;Usage of Tomboy and Pervert as Pet Names
2554;...that's an actual tag?
2555;First ever lemon by the author
2556;MLM/WLW Stupidity
2557;Ryoga and Ukyo are being a disaster in the background
2558;Kuno has adventures and a stupid crush on Nabiki
2559;Shampoo and Mousse are being an even bigger disaster in the background
2560;Crying
2561;Canon-Typical amounts of property damage
2562;Ranma doesn't really figure anything out
2563;Toxic Relationship
2564;death to toxic masculinity
2565;violent nightmares
2566;Willful Ignorance
2567;Akane is over it (she isn't)
2568;Spells & Enchantments
2569;Yeah this is just utter filth
2570;divergence
2571;End of the World
2572;Non-Canon Relationship
2573;Alternate Reality
2574;Absurd Martial Arts
2575;Asexual Hibiki Ryouga
2576;Threats of Rape/Non-Con
2577;Hope
2578;thoughts
2579;I Don't Even Know
2580;Ranma has the ATA Gene
2581;Illusions
2582;Pro Wrestling announcing
2583;Gun Violence
2584;discussions of scars
2585;content warnings at beginning of each chapter
2586;White-Winged Lilith
2587;Space Flight
2588;Alternate Universe - Canon Divergence
2589;Hobbits
2590;Alternate Universe - Reincarnation
2591;Slow Updates
2592;Flamboyant Sawada Tsunayoshi
2593;Morally Grey Harry Potter
2594;Magically Powerful Harry Potter
2595;Emotional Hurt
2596;Midoriya Izuku Has a Quirk
2597;Headcanon
2598;Manga & Anime
2599;Crazy Crossover Families
2600;Trans Female Character
2601;Nonbinary Cassandra Cain
2602;Ranma 1/2 au
2603;look Han is Ranma just go with it
2604;Drabble Collection
2605;Alternate Universe - Elf
2606;Romantic Comedy
2607;Love
2608;Shoujo-ai
2609;referencia a BDSM
2610;Angst
2611;Death
2612;Pañales
2613;Bonding
2614;watch as I sweep anything canon that doesn't work to me into this comically large dustpan
2615;Crossover Pairings
2616;Inspired by Ranma 1/2
2617;Polyamory
2618;Alternate Universe - Harry Potter Setting
2619;Dark
2620;Don't copy to another site
2621;Zoro's got secrets
2622;Found Family
2623;no beta we die like men
2624;BAMF Saotome Ranma
2625;Saotome Genma's A+ Parenting
2626;domestic life
2627;strange animals
2628;Fairy Tail Cards
2629;The Bet
2630;humans as transformers
2631;free story
2632;Crack
2633;Game Master Earth
2634;Just a Set of Sneak Previews
2635;So just be aware
2636;Prankster Needs an Alibi
2637;Major Original Character(s)
2638;Autistic Character
2639;Bisexual Female Character
2640;Lesbian Sex
2641;Internal Monologue
2642;Breast Fucking
2643;More Than Canon-Typical Violence
2644;Another curse
2645;Selfcest
2646;Fluff and Humor
2647;Amor no Correspondido
2648;Confusion
2649;Taking Gags Seriously For Comedy's Sake
2650;Dark Fantasy
2651;Father-Son Fight
2652;MSTing
2653;Ranma/marcial arts
2654;Ranma también es un idiota al casarse con un Idiota
2655;No Smut
2656;Mostly Crack
2657;mostly an excuse to fuck with canon
2658;Overpowered Saotome Ranma
2659;Vampires
2660;Ranma is half-youkai
2661;Failed Relationship
2662;Fukufic
2663;oops i made it dramatic
2664;Light Angst
2665;Letter to yourself
2666;Trans Female Saotome Ranma
2667;Bigender Tenoh Haruka
2668;Mind Manipulation
2669;Internalized Transphobia
2670;But with the Norns from OMG
2671;Threesome
2672;Deal With It
2673;Shiho Suzui is an Anti-Shadow Suppression Weapon in Disguise
2674;Ranma and Fei Ren Zai cameos
2675;there will be appendix
2676;Gender Issues
2677;Minor other Rumic crossover
2678;we shall see
2679;Alternate Universe - College/University
2680;Tutoring
2681;Sex Education
2682;Earrings
2683;Cat fist
2684;D&D club
2685;prose
2686;Self-cest
2687;Face-Fucking
2688;Hijinks & Shenanigans
2689;it's actually really cute
2690;Self-Discovery
2691;Cum Eating
2692;Feudal Japan
2693;Humour
2694;Latex
2695;Master/Slave
2696;Psychological Drama
2697;Role Playing Sex
2698;Transgender
2699;Ficlet
2700;Flowers
2701;Mild Hurt/Comfort
2702;hatefuck
2703;Innuendo
2704;Rain
2705;Praise Kink
2706;anthros
2707;Cute Ending
2708;Adventures in the Gayborhood
2709;Jusenkyo has a bad Delivery Service
2710;I have no explanation for writing
2711;Chinese Mythology & Folklore
2712;Awesome
2713;Plot
2714;Arachne - Freeform
2715;Current Work IN PROGRESS
2716;Jumpchain Shenanigans
2717;READ THE DISCLAIMERS!
2718;Punk
2719;Action Figures
2720;Conversation
2721;Family Bonding
2722;Implied/Referenced Sex
2723;Dom/sub Play
2724;Tender Sex
2725;Foursome
2726;Some Seriousness
2727;Bigender Ranma
2728;Clones
2729;Love Polygon
2730;santa
2731;Spatulas
2732;some massaging
2733;Changing the past isn't so easy
2734;The Nanban Mirror
2735;The Tendo Household is having a rotten day
2736;badly ooc
2737;Mindbreak
2738;Hyperinflation
2739;Cursed Outfit
2740;Lube
2741;similar character dynamics
2742;Forced
2743;Shampoo and Ranma being brats together
2744;Magic transition
2745;Cock Hugger
2746;Changing POV
2747;Probably one of the rarest of Rumic pairings but y'know what? That's ok
2748;True Neko Ken
2749;Future Trunks will be called 'Mirai' to show which Trunks is which
2750;Mild Akane Bashing
2751;Teacher-Student Relationship
2752;Bad Cooking
2753;Art
2754;Bad Parenting
2755;Homelessness
2756;bildungsroman
2757;Next Generation
2758;i don't make the rules here i'm merely a vessel for these thoughts that hit me at three am
2759;Ranma Raised by Amazons
2760;Confessional Sex
2761;Erotica
2762;Ranma Week 2014
2763;I Will Go Down With This Ship
2764;Epic Friendship
2765;Cold Weather
2766;Imagine your OTP
2767;Canon Continuation
2768;Alternate Universe - Urban Fantasy
2769;Fireplaces
2770;Husbands
2771;Nipple Play
2772;Public Display of Affection
2773;Hormones
2774;Christmas Music
2775;boobs
2776;Estrogen
2777;Got milk
2778;Ballroom Dancing
2779;Based on a SpongeBob SquarePants Episode
2780;Confessions
2781;switching forms
2782;Emotional Manipulation
2783;Retelling of Ranma 1/2
2784;Firefighters
2785;fire rescue
2786;I Ship It
2787;She's got sass once the chapters get flowing
2788;Ranma drinks his respecting women juice
2789;just a silly little AU
2790;They finally get it over with
2791;Satire
2792;Darkstalker reference
2793;Travel
2794;Vampire Bites
2795;College Akane
2796;pussyfree
2797;takes place right after the romeo and juliet play
2798;curse locking
2799;Alternate Universe - Always a Different Sex
2800;Meeting the Parents
2801;Journey to the Magic World Arc
2802;regular feelings that regular boys have
2803;these girls have all got some VERY sturdy closets
2804;trans ryoga
2805;Autumn
2806;Missing Scene
2807;Mousse too
2808;o-shogatsu
2809;Hidden Sex
2810;Trans Kuonji Ukyo
2811;Narcissism
2812;Advent
2813;genderfluid kuroba kaito
2814;but I ain't writing anything detailed I swear.
2815;Mild Gore
2816;Hugging
2817;rumic world
2818;Explicit Consent
2819;Other Characters as well - Freeform
2820;Isolation
2821;She's really chill with them
2822;Hucow
2823;Red Dwarf References
2824;Story
2825;Wedding-Crashing
2826;Cats
2827;Time Travel Fix-It
2828;Some Plot
2829;Non-Consensual Touching
2830;babysitter
2831;Period-Typical Sexism
2832;Beaches
2833;Objectification
2834;Stereotypes
2835;Bluebell is Ranma's lil sis
2836;Deception
2837;Symphogear References
2838;working out
2839;Inspired by Fanart
2840;Seasonal
2841;References to Ranma 1/2
2842;Sleepy Cuddles
2843;need a beta reader
2844;A little bit dark
2845;Happosai is Garbage
2846;trans mousse
2847;First Love Zombie
2848;Gojo Satoru is a Little Shit
2849;Adults Being Idiots
2850;Kirishima Miyama is a little shit
2851;Fighting Kink
2852;Muteness
2853;Medical Conditions
2854;Ryokari is adorable and needs more content
2855;Cock Piercing
2856;Nabiki is a bitch.
2857;they made me do this i swear
2858;Albino
2859;Shame
2860;Demon!Ukyo
2861;Attempted Suicide
2862;Tags to be added
2863;Love/Hate
2864;Communication Failure
2865;Reference to Seppeku Contract
2866;From Sex to Love
2867;Can’t spoil the plot after all
2868;small amount of Angst
2869;Seriously how didn't this happen before?
2870;De-Aged Ranma
2871;You would think that Ranma would have wised up about magic artifacts by now
2872;Memes
2873;Akane has it all figured out
2874;During Canon
2875;Shampoo loves Ranma
2876;will they / won't they
2877;Shampoo deserves to be treated better by the series
2878;funhouse of horrors
2879;Alternate Universe - No Jusenkyo
2880;Sappy
2881;The Game Is Afoot
2882;Awkward Teens Be Awkward
2883;Shu is from Joketsuzoku
2884;You’re supposed to have a harem?
2885;everyone has regrets
2886;nabiki the matchmaker
2887;Het
2888;Vampire Ranma
2889;Eggs
2890;Diapers
2891;Sort Of
2892;Does it really count as cuckolding if the guy's not in a relationship with the girl?
2893;Episode Related
2894;neko
2895;Vampire Slayer(s)
2896;Pop Culture
2897;Post-Apocalypse
2898;On Hiatus
2899;Harem
2900;Breast Expansion
2901;volume 38
2902;Supernatural - Freeform
2903;Gules
2904;whumpage
2905;Yet Another Ranma-chan Fanfic
2906;Thriller
2907;Video Format: MP4
2908;#nosequeestoyhaciendo
2909;nalgadas al aire libre
2910;Omega Steve Rogers
2911;Massacre
2912;Geass
2913;Heterosexuality
2914;Tempature Play
2915;Ranma is in early 20s
2916;Fucking
2917;Oviposition
2918;Story Arc
2919;For Sailor Moon
2920;Alternate History
2921;Alternate Universe - Fantasy
2922;Furry
2923;Female Sasagawa Ryouhei
2924;Tragedy
2925;Gender-Neutral Pronouns
2926;Bigender Saotome Ranma
2927;Teasing
2928;Sorta character death
2929;Fix-It of Sorts
2930;Flash Fic Collection
2931;Navidad
2932;Naruto and Ash are brothers
2933;castigo corporal
2934;я притянула всё за уши
2935;do not repost to another site
2936;Alternate Universe - Time Travel
2937;Depression
2938;Mind Control
2939;Tentacle Rape
2940;Crack Crossover
2941;Characters React to Author
2942;Writing Hacks
2943;Ranma is Zoro's Dad
2944;using Ranma characters to populate a Grand Line island
2945;in this fic Zoro comes from the Grand Line
2946;Ghost Sex
2947;Tattoos
2948;Resurrection
2949;Possession
2950;Pre-Movie: Transformers: The Movie (1986)
2951;Lesbian Character
2952;Past Relationship(s)
2953;Hope vs. Despair
2954;Wordcount: 100
2955;Ranma-chan
2956;crossovers
2957;Paris Era
2958;Generally Includes a Lot of OCs
2959;Read the Tags for Individual Chapters
2960;Will Contain Many Different Snippets from Different Fandoms
2961;Strawberries
2962;Midoriya & Uraraka are too Innocent
2963;Rites of Passage
2964;Adopted Sibling Relationship
2965;Protective Siblings
2966;Anal Sex
2967;Nipple Piercings
2968;Oral Sex
2969;Parent Saotome Ranma
2970;Female Player Character (Astral Chain)
2971;Ranma as radiance
2972;Post Matrimonio
2973;Amigos
2974;engaño
2975;Language
2976;Crimefighter Saotome Ranma
2977;immortal Ranma
2978;Affairs
2979;Anthropomorphic Pokemon
2980;not likely to be continued
2981;Post-War
2982;Implied/Referenced Abuse
2983;Sawada Iemitsu Being an Idiot
2984;se casaría con Fon
2985;incomplete wtf
2986;Analytical Midoriya Izuku
2987;Fem!Everyone
2988;Dress Up
2989;Consensual
2990;I am Komedy
2991;Alternate Multiverse
2992;Amicable Breakup
2993;Technobabble
2994;Most of them just get mentioned tho
2995;inappropriate use of time travel
2996;vacuum - Freeform
2997;Unintentional Incest(im horny at time this story is being written)
2998;Incest?
2999;Heavy Angst
3000;Petplay
3001;Kasumi is basically a Persona now
3002;no fiancee bullshit for Ranma either
3003;Friends to Lovers
3004;alternative ending
3005;familia encontrada
3006;Alien/Human Relationships
3007;Clingy Ranma-chan
3008;Ranma and Usagi are cousins
3009;Happousai finally dies
3010;I will never learn to stop writing late at night
3011;trust me - Freeform
3012;Alpha/Beta/Omega Dynamics
3013;Bi-Gender Character(s)
3014;Queer Themes
3015;Happy Lesbian Syndrome
3016;nb!ukyou
3017;Angst with a Happy Ending
3018;Growing Up
3019;Monks
3020;headcanon fic
3021;Story within a Story
3022;Ranma is a girl
3023;Main Love Interest Akane
3024;Coming Out
3025;Children of Characters
3026;Fashion & Couture
3027;Platonic Female/Male Relationships
3028;Period-Typical Homophobia
3029;Short
3030;Valentine's Day
3031;drugged beverage
3032;Ryoga Hibiki - Freeform
3033;Tags Are Hard
3034;Gen Fic
3035;Getting Together
3036;Monster Girl
3037;Feet worship
3038;Male Cum Drinking
3039;It's all in good fun
3040;Repression
3041;Angst and Feels
3042;Fluffy Ending
3043;ominous ending
3044;i think
3045;Careful with the mail order
3046;so I'm putting as many as I can in one fic
3047;shoulder dislocation (not too graphic or anything though)
3048;most likely after a fight
3049;Cameos
3050;This is Very
3051;Jumpchain Perks at Work
3052;AKA Fun with Instant Jusenkyo
3053;I Kinda Like A Real Man and The Bitter End
3054;Look... Just Crack
3055;Developing Friendships
3056;Canonical Character Death
3057;Family Issues
3058;Adulthood
3059;Ten Years Later
3060;Stranded
3061;Romantic Friendship
3062;Mentions of Cancer
3063;Judaism
3064;Swearing
3065;male!ranma and ryoga
3066;Accidental Relationship
3067;Ryouga is always wanting to kill Ranma
3068;Switcharoo (The ability to switch consciousnesses)
3069;The Lion Roar Shot
3070;Alien Abduction
3071;Beating
3072;Like 20 years old
3073;Costume
3074;VA dorkery
3075;Parental Death
3076;Funny little headcanon
3077;Ranma is a troll
3078;picking your family
3079;gods and demons
3080;because I felt like it
3081;inspired by the movie The Odd Couple
3082;Ranma would also make a great stuntman
3083;Middle School
3084;Coming of Age
3085;Ranma Never Gets a Break
3086;Home
3087;Sacrifice
3088;Consensual Sex
3089;Music
3090;Inspired by Lady and the Tramp (1955)
3091;Dinner
3092;Breasts
3093;Suckling
3094;Ranma brings the craziness to Nerima
3095;OTP Feels
3096;Adult Content
3097;Bathing/Washing
3098;Sweet
3099;Sweet/Hot
3100;Fatherhood
3101;Christmas Smut
3102;So Married
3103;Real man
3104;Life-Affirming Sex
3105;mating for life
3106;ANR
3107;manliness
3108;Female goddess
3109;Slow Dancing
3110;madagascar
3111;Stupidity
3112;Forced truth telling
3113;after the manga
3114;Emotional Sex
3115;polycule
3116;Ranma Saotome needs a hug
3117;Feelings Realization
3118;Matter of Life and Death
3119;Ice
3120;Size Stealing
3121;Enemies to Friends
3122;Fifteen Minute Fic
3123;dump
3124;poop
3125;Surgery
3126;Love Potion/Spell
3127;but she's just someone they met at pride
3128;Akane has to be the adult in the room
3129;Accidental Engagement
3130;Does not contain Akane-bashing
3131;Ranma does not appear
3132;I will not disavow old works just because they're old and I'm a better writer now
3133;Happosai gets killed but it's a very brief mention
3134;Unresolved Emotional Tension
3135;Genma is an idiot
3136;Sex Tapes
3137;Parent Trap shenanigans
3138;Dubious Morality
3139;Pizza
3140;Father-Daughter Relationship
3141;Ranma and Akane are oblivious as hell
3142;Internalized Homophobia
3143;Ranma is a goofball who tries his best
3144;early-ish for Conan
3145;post canon for Ranma
3146;Kasumi is tired of everyone else having adventures
3147;And Sayuri is here too
3148;Awkward Conversations
3149;Internalized Misogyny
3150;maybe something will come out of it.
3151;Trans Tendou Akane
3152;Boys In Love
3153;Kuonji Ukyou-centric
3154;Brief M/M
3155;this baby can hold so many friendships in it
3156;Breast Worship
3157;Fear of Rejection
3158;hospitals cw
3159;Role Reversal
3160;Post continuity
3161;Eventual happiness but a rough road to get there
3162;bimbo
3163;I haven't watched Ranma in so long there's gonna be some things wrong
3164;How am I gonna deal with the other fiances??
3165;Not me googling the wiki for the episode recaps-
3166;Ranma needs friends ok? And a hug
3167;"ao3 is so confusing ;-;"
3168;Alternate Universe - Medieval
3169;Long-Distance Relationship
3170;School Life
3171;it goes about as well as you'd expect
3172;Character Turned Into Vampire
3173;Magical Artifacts
3174;Cowboys & Cowgirls
3175;Flirting While Fighting
3176;Underage Rape/Non-con
3177;Dissociative Identity Disorder
3178;Dissociation
3179;Insecurity
3180;Akane is a lesbian and knows it
3181;Giorno's hair
3182;beef stroganoff
3183;Spring
3184;Tags May Change
3185;Sleepy Kisses
3186;Bickering
3187;Surprise Kissing
3188;Difficult Decisions
3189;Beadwork
3190;only implied genderfluid
3191;supportive Akane
3192;You Have Been Warned
3193;Whipped Cream
3194;Victim Blaming
3195;Unhealthy Coping Mechanisms
3196;bit of a slow burn
3197;Ranma and Akane are a lot nicer in this so less violence
3198;i'll add tags as i go
3199;Bad Decisions
3200;Devils
3201;Inner Dialogue
3202;Cologne
3203;Chinese Amazons
3204;canon blind
3205;probably actually more like OSDD than DID but OSDD isn't a tag
3206;Takes place during the Martial Arts Ice Skating arc
3207;Trauma
3208;Genma is not a great parent
3209;Slapstick
3210;Toxic masculinity makes everything worse
3211;Nabiki has all of the brain cells and a stupid crush on Kuno
3212;no betas we die like martial artists wrapped in fish sausage in a pit full of cats
3213;Chi is OP
3214;Deliberately
3215;Fanfiction
3216;Made up martial arts technique
3217;sworn to revenge
3218;ending may induce rage
3219;Trans Male Tendou Nabiki
3220;Food with sex in it
3221;Toaster blowtorch
3222;Crossover Pairing
3223;Aquatransexual
3224;mad - Freeform
3225;Backdate
3226;Fight Clubs
3227;Video
3228;Facebook: Club de Lectura de Fanfiction
3229;Secret Attraction
3230;Characters use Dark Humor as a Coping Mechanism
3231;Debatably canonical to SU Future
3232;Alternate Universe - Modern with Magic
3233;Minor crossover elements: Slayers
3234;cartoon violence
3235;Beach City is the Sapphic Capital of the Universe
3236;brutally realistic depictions of ranma 1/2 characters
3237;Accepting!Nodoka
3238;unwanted engagements
3239;Species Dysphoria
3240;The Romans
3241;akane - Freeform
3242;Harems
3243;Tooth-Rotting Fluff
3244;Out of Character
3245;Only posing for hardcore fans...
3246;really old
3247;Bigender Character
3248;AU
3249;Cat
3250;OOC
3251;Oneshot
3252;Friendship
3253;Complications
3254;Staged Crime Scene
3255;Alternate Universe
3256;ranma 1/2 - Freeform
3257;inuyasha - Freeform
3258;Virus
3259;Time Cops Setting (Yogscast)
3260;Sibling Incest
3261;Typical Ranma Shennanigans
3262;but she meant well
3263;Pregnancy
3264;Light Bondage
3265;Post-Manga: Ranma 1/2
3266;Couple insolite/improbable
3267;Animal Transformation
3268;They/Them Pronouns for Shepard (Mass Effect)
3269;Kink Meme
3270;中文翻译 | Translation in Chinese
3271;Romanticism
3272;Writober
3273;fanwriterit
3274;Spoilers For fandoms within
3275;Unexpected Normalcy
3276;Delta Quadrant
3277;Cock Slut
3278;Genital Piercing
3279;reverse isekai
3280;Old Friends
3281;Sexual Training
3282;Living Clothes
3283;DemonDeityHybrid
3284;Secret Crush
3285;Descubrimiento
3286;chica muy celosa
3287;psychological mind trip
3288;Jusenkyo curses
3289;post canon for Ranma 1/2
3290;Cast split up
3291;Yasakani's clan descended from Ranma
3292;OC X CANON
3293;Heterosexual Sex
3294;Past Rape/Non-con
3295;Threesome - F/F/M
3296;but you never know
3297;probably never be worked on
3298;Like over a deacade old
3299;https://www.fanfiction.net/s/4722676/1/Her-War is where Ruby originated from
3300;Christmas Angst
3301;Threesome - F/M/M
3302;please take them up
3303;Ableist Language
3304;Maids
3305;Original Sailor Senshi
3306;trash digging
3307;Persona 5 Protagonist & Sakura Futaba Are Siblings
3308;Character of Color
3309;Deshidratación leve
3310;this came from looking at maps
3311;Jedi Training (Star Wars)
3312;2017 NHK Trophy
3313;what happens when an egomaniac and a romantic are best buds & near-siblings
3314;trans Ranma
3315;Alpha Ranma
3316;Omega Ryoga
3317;safe sex
3318;Nausea
3319;lots of other characters and cameos but these are the main people
3320;Rescue Missions
3321;Blowjobs
3322;Pronoun Switching
3323;Oral Sex on Toys
3324;Locked Curse
3325;Torture
3326;Alternate Universe - Romance Novel
3327;Magical Shenanigans
3328;Ballet boots
3329;Polygamy
3330;Lime
3331;Menstration
3332;Food Sex
3333;First Dates
3334;Ice Skating
3335;Alternate Universe - Curse Inversion
3336;Anal
3337;Trans Man Ranma Saotome
3338;Y'all better buckle up for a ride
3339;ryoga wants both genders
3340;Bathtub Sex
3341;With A Twist
3342;Fluff and Hurt/Comfort
3343;Kendo
3344;NSFW
3345;Parallel Universes
3346;oh well too late now
3347;Domestic
3348;Women Being Awesome
3349;Inappropriate Humor
3350;Gallows Humor
3351;Bisexual
3352;McDonald's
3353;Past Tense
3354;Comedy of Errors
3355;how incredibly appropriate
3356;Dark Comedy
3357;Community: chain_of_fics
3358;Alternate Universe- Feudal War
3359;Prostitution Roleplay
3360;Genderqueer
3361;Hallmark Movie Plot
3362;Ranma needs to be protected from hurting someone
3363;Ryouga has a major mental meltdown
3364;ugly bastard
3365;just ranma having a peaceful afternoon
3366;Epilogue
3367;Mixed Martial Arts
3368;Post-Battle
3369;Mentions of Violence
3370;Lookalikes
3371;Lactation
3372;the springs aren't supposed to do that!
3373;Scent Kink
3374;Wish Fulfillment
3375;everyone forgets ryoga
3376;Nightmare
3377;Supportive Couple
3378;injured Shinichi
3379;An Alternate Interpretation of the Original Story
3380;Ranma and Akane
3381;gender fluid Ranma
3382;New Techniques
3383;Android 17 is still alive
3384;Piccolo (Dragon Ball) lives
3385;Her squad is gay
3386;signature accessory origin
3387;Sex Talk
3388;Marriage Promise
3389;Mystery
3390;Worldbuilding
3391;The Musk
3392;Flashbacks
3393;Folklore
3394;Christmas Dinner
3395;Holidays
3396;Orgasm
3397;Dorks in Love
3398;Fetish
3399;Sexy Times
3400;Caring
3401;Nervousness
3402;Continuity What Continuity
3403;your mileage may vary
3404;adult nursing relationship
3405;naturally
3406;Mammaries
3407;Learning to Dance
3408;Humiliation
3409;This Is STUPID
3410;This Is Why We Can't Have Nice Things
3411;Beginner Friendly
3412;Twin Threesome
3413;machismo
3414;Vibrators
3415;Hospitals
3416;Tears
3417;Childhood Memories
3418;Condoms
3419;Scent Marking
3420;It can be to your preferred Ryouga ship
3421;Everyone acts like mature rational adults except for genma and soun
3422;Bully
3423;Podfic
3424;Mental Health Issues
3425;Christmas fun
3426;they're all together
3427;References to Depression
3428;Therapy
3429;bi disasters
3430;Ball Kink
3431;remember when rumiko tricked us into thinking they kissed haha
3432;im here decades later to write a short thing about it lmao
3433;idiots to lovers
3434;Self-Loathing
3435;Happosai is fucking dead
3436;Ranma-chan!fic
3437;Ukyo learns the Hiten Mitsurugi-ryū (Rurouni Kenshin)
3438;Loss of Parent(s)
3439;Interlude
3440;trans girl Shampoo
3441;Shrine Visit
3442;Card Games
3443;Drabbles
3444;smutty smut smut
3445;Sexism
3446;Cross-Posted on LiveJournal
3447;Claiming Bites
3448;Sensory Deprivation
3449;Gym Sex
3450;I play DND myself
3451;Magical Pregnancy
3452;2017-2019
3453;anchronism stew in this household
3454;rope
3455;the gang is all here
3456;Ranma-Chan in Disguise
3457;Posting because FFN peeps asked for it
3458;gender feels
3459;but at least they have each other
3460;Covert Affairs - Freeform
3461;XReader
3462;Canon Typical Craziness
3463;Trolling Nabiki
3464;Human Furniture
3465;No beta we die like Ranma's attempts to find a cure
3466;Ryoga and Ranma fight
3467;Occasional OOC
3468;Drugged Sex
3469;Amputee Saotome Ranma
3470;Detective Noir
3471;(Paul F. Tompkins voice) You Heard What I Just Said
3472;Sexual Situations
3473;Implied/Referenced Domestic Violence
3474;hell ring
